,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
0,Kupwara,158438.0,92052.478,13150.354000000001,77476.182,23226.0,11496.87,1114.848,16304.652
1,Badgam,160649.0,74380.487,6265.311,133820.617,27190.0,9190.22,706.94,24579.76
2,Leh,36920.0,19013.8,775.32,32526.52,17474.0,9540.804,192.21400000000003,16740.092
3,Kargil,40370.0,29591.21,1412.95,39078.16,7774.0,5348.512,93.288,7579.65
4,Punch,132139.0,78622.705,3171.336,18103.042999999998,15269.0,4168.437,122.152,11497.556999999999
5,Rajouri,196070.0,103721.03,5293.89,19999.14,17508.0,3256.4880000000003,297.63599999999997,14969.34
6,Kathua,181374.0,66564.258,6348.09,25755.107999999997,33473.0,9037.71,1037.663,22460.382999999998
7,Baramula,210543.0,97060.323,11158.778999999999,156433.449,48932.0,16636.88,2446.6,45262.1
8,Bandipore,80521.0,43239.777,5958.554,56445.221,17555.0,5442.05,754.865,16554.365
9,Srinagar,4518.0,1734.9119999999998,284.63399999999996,4007.4660000000003,257721.0,59791.272000000004,5669.862000000001,252824.30099999998
10,Ganderbal,63788.0,30235.512,6059.86,44332.66,13558.0,2982.76,610.11,12378.454
11,Pulwama,147520.0,63433.6,6785.92,92495.04,21703.0,9202.072,651.09,19771.432999999997
12,Shupiyan,75616.0,25104.512000000002,4461.344,44613.44,5272.0,1813.568,173.976,4997.856
13,Anantnag,207067.0,89660.011,10560.417,105190.036,70666.0,20139.81,2190.646,53352.83
14,Kulgam,95952.0,47016.48,4509.744000000001,40011.984000000004,25178.0,10574.76,1057.476,14729.13
15,Doda,122267.0,73360.2,1956.2720000000002,29344.08,11350.0,2689.95,329.15,10600.9
16,Ramban,84281.0,43404.715,1769.901,15002.018,5341.0,1030.813,128.184,4417.0070000000005
17,Kishtwar,72378.0,37636.56,2460.852,14475.6,5993.0,809.055,41.95099999999999,5597.462
18,Udhampur,148664.0,66452.808,2973.28,11001.136,34696.0,5898.32,624.528,26056.695999999996
19,Reasi,95572.0,52469.028,1433.58,8601.48,12261.0,4843.095,134.871,9661.668
20,Jammu,254566.0,97753.344,12473.734000000002,62623.236000000004,248043.0,56057.71800000001,8433.462,210588.50700000004
21,Samba,94247.0,28745.335,3110.151,24504.22,19989.0,3558.042,219.87900000000002,14132.223
22,Chamba,186395.0,70830.1,4287.084999999999,90960.76,13836.0,2573.496,96.85199999999999,12037.32
23,Kangra,588321.0,148845.21300000002,8236.493999999999,378878.72400000005,39007.0,7411.33,624.1120000000001,32102.761000000002
24,Kullu,167995.0,46198.625,2015.94,91053.29,20709.0,3189.186,269.217,18762.354
25,Mandi,431129.0,120716.12,6898.064,353525.78,31696.0,5483.408,221.87199999999996,29160.32
26,Hamirpur,196116.0,42361.056000000004,1961.16,174739.35599999997,15232.0,2619.904,91.392,14059.135999999999
27,Hamirpur,196116.0,42361.056000000004,1961.16,174739.35599999997,15232.0,5651.072000000001,243.71200000000002,10464.384
28,Hamirpur,196116.0,42361.056000000004,1961.16,174739.35599999997,55300.0,9511.6,331.8,51041.9
